l_elbow_pitch,l_shoulder_pitch,r_elbow_pitch,r_shoulder_pitch,waist_yaw,timestamp
0.0,0.0,0.0,0.0,0.0,7.199999999999999
0.0,0.0,0.0,0.0,0.0,7.68
0.0,0.0,0.0,0.0,0.0,8.16
0.0,0.0,0.0,0.0,0.0,8.639999999999999
0.0,0.0,0.0,0.0,0.0,9.12
0.0,0.0,0.0,0.0,0.0,9.6
0.0,0.0,0.0,0.0,0.0,10.08
0.0,0.0,0.0,0.0,0.0,10.559999999999999
0.0,0.0,0.0,0.0,0.0,11.04
0.0,0.0,0.0,0.0,0.0,11.52
0.0,0.0,0.0,0.0,0.0,12.0
0.0,0.0,0.0,0.0,0.0,12.479999999999999
0.0,0.0,0.0,0.0,0.0,12.959999999999999
0.0,0.0,0.0,0.0,0.0,13.44
0.0,0.0,0.0,0.0,0.0,13.919999999999998
0.0,0.0,0.0,0.0,0.0,14.399999999999999
0.0,0.0,0.0,0.0,0.0,14.879999999999999
0.0,0.0,0.0,0.0,0.0,15.36
0.0,0.0,0.0,0.0,0.0,15.839999999999998
0.0,0.0,0.0,0.0,0.0,16.32
0.0,0.0,0.0,0.0,0.0,16.799999999999997
0.0,0.0,0.0,0.0,0.0,17.279999999999998
0.0,0.0,0.0,0.0,0.0,17.759999999999998
0.0,0.0,0.0,0.0,0.0,18.24
0.0,0.0,0.0,0.0,0.0,18.72
0.0,0.0,0.0,0.0,0.0,19.2
0.0,0.0,0.0,0.0,0.0,19.68
0.0,0.0,0.0,0.0,0.0,20.16
0.0,0.0,0.0,0.0,0.0,20.639999999999997
0.0,0.0,0.0,0.0,0.0,21.119999999999997
0.0,0.0,0.0,0.0,0.0,21.599999999999998
0.0,0.0,0.0,0.0,0.0,22.08
0.0,0.0,0.0,0.0,0.0,22.56
0.0,0.0,0.0,0.0,0.0,23.04
0.0,0.0,0.0,0.0,0.0,23.52
0.0,0.0,0.0,0.0,0.0,24.0
0.0,0.0,0.0,0.0,0.0,24.479999999999997
0.0,0.0,0.0,0.0,0.0,24.959999999999997
0.0,0.0,0.0,0.0,0.0,25.439999999999998
0.0,0.0,0.0,0.0,0.0,25.919999999999998
0.0,0.0,0.0,0.0,0.0,26.4
0.0,0.0,0.0,0.0,0.0,26.88
0.0,0.0,0.0,0.0,0.0,27.36
0.0,0.0,0.0,0.0,0.0,27.839999999999996
