l_elbow_pitch,l_shoulder_pitch,r_elbow_pitch,r_shoulder_pitch,waist_yaw,timestamp
0.0,0.0,0.0,0.0,0.0,21.599999999999998
0.0,0.0,0.0,0.0,0.0,22.08
0.0,0.0,0.0,0.0,0.0,22.56
0.0,0.0,0.0,0.0,0.0,23.04
0.0,0.0,0.0,0.0,0.0,23.52
0.0,0.0,0.0,0.0,0.0,24.0
0.0,0.0,0.0,0.0,0.0,24.479999999999997
0.0,0.0,0.0,0.0,0.0,24.959999999999997
0.0,0.0,0.0,0.0,0.0,25.439999999999998
0.0,0.0,0.0,0.0,0.0,25.919999999999998
0.0,0.0,0.0,0.0,0.0,26.4
0.0,0.0,0.0,0.0,0.0,26.88
0.0,0.0,0.0,0.0,0.0,27.36
0.0,0.0,0.0,0.0,0.0,27.839999999999996
0.0,0.0,0.0,0.0,0.0,28.319999999999997
0.0,0.0,0.0,0.0,0.0,28.799999999999997
0.0,0.0,0.0,0.0,0.0,29.279999999999998
0.0,0.0,0.0,0.0,0.0,29.759999999999998
0.0,0.0,0.0,0.0,0.0,30.24
0.0,0.0,0.0,0.0,0.0,30.72
0.0,0.0,0.0,0.0,0.0,31.2
0.0,0.0,0.0,0.0,0.0,31.679999999999996
0.0,0.0,0.0,0.0,0.0,32.16
0.0,0.0,0.0,0.0,0.0,32.64
0.0,0.0,0.0,0.0,0.0,33.12
0.0,0.0,0.0,0.0,0.0,33.599999999999994
0.0,0.0,0.0,0.0,0.0,34.08
0.0,0.0,0.0,0.0,0.0,34.559999999999995
0.0,0.0,0.0,0.0,0.0,37.44
0.0,0.0,0.0,0.0,0.0,37.919999999999995
0.0,0.0,0.0,0.0,0.0,38.4
0.0,0.0,0.0,0.0,0.0,38.879999999999995
0.0,0.0,0.0,0.0,0.0,39.36
0.0,0.0,0.0,0.0,0.0,39.839999999999996
0.0,0.0,0.0,0.0,0.0,40.32
0.0,0.0,0.0,0.0,0.0,40.8
0.0,0.0,0.0,0.0,0.0,41.279999999999994
0.0,0.0,0.0,0.0,0.0,41.76
0.0,0.0,0.0,0.0,0.0,42.239999999999995
0.0,0.0,0.0,0.0,0.0,42.72
0.0,0.0,0.0,0.0,0.0,43.199999999999996
0.0,0.0,0.0,0.0,0.0,44.16
0.0,0.0,0.0,0.0,0.0,44.63999999999999
0.0,0.0,0.0,0.0,0.0,45.12
0.0,0.0,0.0,0.0,0.0,45.599999999999994
0.0,0.0,0.0,0.0,0.0,46.08
0.0,0.0,0.0,0.0,0.0,46.559999999999995
0.0,0.0,0.0,0.0,0.0,47.04
0.0,0.0,0.0,0.0,0.0,47.519999999999996
0.0,0.0,0.0,0.0,0.0,48.0
0.0,0.0,0.0,0.0,0.0,48.48
0.0,0.0,0.0,0.0,0.0,48.959999999999994
0.0,0.0,0.0,0.0,0.0,49.44
0.0,0.0,0.0,0.0,0.0,49.919999999999995
0.0,0.0,0.0,0.0,0.0,50.4
0.0,0.0,0.0,0.0,0.0,50.879999999999995
0.0,0.0,0.0,0.0,0.0,51.36
0.0,0.0,0.0,0.0,0.0,51.839999999999996
0.0,0.0,0.0,0.0,0.0,52.31999999999999
0.0,0.0,0.0,0.0,0.0,52.8
0.0,0.0,0.0,0.0,0.0,53.279999999999994
0.0,0.0,0.0,0.0,0.0,53.76
0.0,0.0,0.0,0.0,0.0,54.239999999999995
0.0,0.0,0.0,0.0,0.0,54.72
0.0,0.0,0.0,0.0,0.0,55.199999999999996
0.0,0.0,0.0,0.0,0.0,55.67999999999999
0.0,0.0,0.0,0.0,0.0,56.16
0.0,0.0,0.0,0.0,0.0,56.63999999999999
0.0,0.0,0.0,0.0,0.0,57.12
0.0,0.0,0.0,0.0,0.0,57.599999999999994
0.0,0.0,0.0,0.0,0.0,58.08
0.0,0.0,0.0,0.0,0.0,58.559999999999995
0.0,0.0,0.0,0.0,0.0,59.04
0.0,0.0,0.0,0.0,0.0,59.519999999999996
0.0,0.0,0.0,0.0,0.0,76.8
0.0,0.0,0.0,0.0,0.0,77.28
0.0,0.0,0.0,0.0,0.0,77.75999999999999
0.0,0.0,0.0,0.0,0.0,78.24
0.0,0.0,0.0,0.0,0.0,78.72
0.0,0.0,0.0,0.0,0.0,79.19999999999999
0.0,0.0,0.0,0.0,0.0,79.67999999999999
0.0,0.0,0.0,0.0,0.0,80.16
0.0,0.0,0.0,0.0,0.0,80.64
0.0,0.0,0.0,0.0,0.0,81.11999999999999
0.0,0.0,0.0,0.0,0.0,81.6
0.0,0.0,0.0,0.0,0.0,82.08
0.0,0.0,0.0,0.0,0.0,82.55999999999999
0.0,0.0,0.0,0.0,0.0,86.88
0.0,0.0,0.0,0.0,0.0,87.36
0.0,0.0,0.0,0.0,0.0,87.83999999999999
0.0,0.0,0.0,0.0,0.0,88.32
0.0,0.0,0.0,0.0,0.0,88.8
0.0,0.0,0.0,0.0,0.0,89.27999999999999
0.0,0.0,0.0,0.0,0.0,89.75999999999999
0.0,0.0,0.0,0.0,0.0,90.24
0.0,0.0,0.0,0.0,0.0,90.72
0.0,0.0,0.0,0.0,0.0,91.19999999999999
0.0,0.0,0.0,0.0,0.0,91.67999999999999
0.0,0.0,0.0,0.0,0.0,92.16
0.0,0.0,0.0,0.0,0.0,92.63999999999999
0.0,0.0,0.0,0.0,0.0,94.55999999999999
0.0,0.0,0.0,0.0,0.0,95.03999999999999
0.0,0.0,0.0,0.0,0.0,95.52
0.0,0.0,0.0,0.0,0.0,96.47999999999999
0.0,0.0,0.0,0.0,0.0,96.96
0.0,0.0,0.0,0.0,0.0,97.44
0.0,0.0,0.0,0.0,0.0,97.91999999999999
0.0,0.0,0.0,0.0,0.0,98.39999999999999
0.0,0.0,0.0,0.0,0.0,98.88
0.0,0.0,0.0,0.0,0.0,99.36
0.0,0.0,0.0,0.0,0.0,99.83999999999999
0.0,0.0,0.0,0.0,0.0,100.32
0.0,0.0,0.0,0.0,0.0,100.8
0.0,0.0,0.0,0.0,0.0,101.27999999999999
0.0,0.0,0.0,0.0,0.0,101.75999999999999
0.0,0.0,0.0,0.0,0.0,102.24
0.0,0.0,0.0,0.0,0.0,102.72
0.0,0.0,0.0,0.0,0.0,103.19999999999999
0.0,0.0,0.0,0.0,0.0,103.67999999999999
0.0,0.0,0.0,0.0,0.0,104.16
0.0,0.0,0.0,0.0,0.0,104.63999999999999
0.0,0.0,0.0,0.0,0.0,105.11999999999999
0.0,0.0,0.0,0.0,0.0,105.6
0.0,0.0,0.0,0.0,0.0,106.08
0.0,0.0,0.0,0.0,0.0,106.55999999999999
0.0,0.0,0.0,0.0,0.0,107.03999999999999
0.0,0.0,0.0,0.0,0.0,107.52
0.0,0.0,0.0,0.0,0.0,107.99999999999999
0.0,0.0,0.0,0.0,0.0,108.47999999999999
0.0,0.0,0.0,0.0,0.0,108.96
0.0,0.0,0.0,0.0,0.0,109.44
0.0,0.0,0.0,0.0,0.0,109.91999999999999
0.0,0.0,0.0,0.0,0.0,110.39999999999999
0.0,0.0,0.0,0.0,0.0,110.88
