l_elbow_pitch,l_shoulder_pitch,r_elbow_pitch,r_shoulder_pitch,waist_yaw,timestamp
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.48
0.0,0.0,0.0,0.0,0.0,0.96
0.0,0.0,0.0,0.0,0.0,1.44
0.0,0.0,0.0,0.0,0.0,1.92
0.0,0.0,0.0,0.0,0.0,2.4
0.0,0.0,0.0,0.0,0.0,2.88
0.0,0.0,0.0,0.0,0.0,3.36
0.0,0.0,0.0,0.0,0.0,3.84
0.0,0.0,0.0,0.0,0.0,4.319999999999999
0.0,0.0,0.0,0.0,0.0,4.8
0.0,0.0,0.0,0.0,0.0,5.279999999999999
0.0,0.0,0.0,0.0,0.0,5.76
0.0,0.0,0.0,0.0,0.0,6.239999999999999
0.0,0.0,0.0,0.0,0.0,6.72
0.0,0.0,0.0,0.0,0.0,7.199999999999999
0.0,0.0,0.0,0.0,0.0,7.68
0.0,0.0,0.0,0.0,0.0,8.16
0.0,0.0,0.0,0.0,0.0,8.639999999999999
0.0,0.0,0.0,0.0,0.0,9.12
0.0,0.0,0.0,0.0,0.0,9.6
0.0,0.0,0.0,0.0,0.0,11.04
0.0,0.0,0.0,0.0,0.0,11.52
0.0,0.0,0.0,0.0,0.0,12.0
0.0,0.0,0.0,0.0,0.0,12.479999999999999
0.0,0.0,0.0,0.0,0.0,12.959999999999999
0.0,0.0,0.0,0.0,0.0,13.44
0.0,0.0,0.0,0.0,0.0,13.919999999999998
0.0,0.0,0.0,0.0,0.0,14.399999999999999
0.0,0.0,0.0,0.0,0.0,14.879999999999999
0.0,0.0,0.0,0.0,0.0,15.36
0.0,0.0,0.0,0.0,0.0,15.839999999999998
0.0,0.0,0.0,0.0,0.0,16.32
0.0,0.0,0.0,0.0,0.0,16.799999999999997
0.0,0.0,0.0,0.0,0.0,17.279999999999998
0.0,0.0,0.0,0.0,0.0,17.759999999999998
0.0,0.0,0.0,0.0,0.0,18.24
0.0,0.0,0.0,0.0,0.0,18.72
0.0,0.0,0.0,0.0,0.0,19.2
0.0,0.0,0.0,0.0,0.0,20.639999999999997
0.0,0.0,0.0,0.0,0.0,21.119999999999997
0.0,0.0,0.0,0.0,0.0,21.599999999999998
0.0,0.0,0.0,0.0,0.0,22.08
0.0,0.0,0.0,0.0,0.0,22.56
0.0,0.0,0.0,0.0,0.0,23.04
0.0,0.0,0.0,0.0,0.0,23.52
0.0,0.0,0.0,0.0,0.0,24.0
0.0,0.0,0.0,0.0,0.0,24.479999999999997
0.0,0.0,0.0,0.0,0.0,24.959999999999997
0.0,0.0,0.0,0.0,0.0,25.439999999999998
0.0,0.0,0.0,0.0,0.0,25.919999999999998
0.0,0.0,0.0,0.0,0.0,26.4
0.0,0.0,0.0,0.0,0.0,26.88
0.0,0.0,0.0,0.0,0.0,27.36
0.0,0.0,0.0,0.0,0.0,27.839999999999996
0.0,0.0,0.0,0.0,0.0,28.319999999999997
0.0,0.0,0.0,0.0,0.0,28.799999999999997
0.0,0.0,0.0,0.0,0.0,29.279999999999998
0.0,0.0,0.0,0.0,0.0,29.759999999999998
0.0,0.0,0.0,0.0,0.0,30.24
0.0,0.0,0.0,0.0,0.0,30.72
0.0,0.0,0.0,0.0,0.0,31.2
0.0,0.0,0.0,0.0,0.0,31.679999999999996
0.0,0.0,0.0,0.0,0.0,32.16
0.0,0.0,0.0,0.0,0.0,32.64
0.0,0.0,0.0,0.0,0.0,33.12
0.0,0.0,0.0,0.0,0.0,33.599999999999994
0.0,0.0,0.0,0.0,0.0,34.08
0.0,0.0,0.0,0.0,0.0,34.559999999999995
0.0,0.0,0.0,0.0,0.0,35.04
0.0,0.0,0.0,0.0,0.0,35.519999999999996
0.0,0.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,36.48
0.0,0.0,0.0,0.0,0.0,36.96
0.0,0.0,0.0,0.0,0.0,37.44
0.0,0.0,0.0,0.0,0.0,37.919999999999995
0.0,0.0,0.0,0.0,0.0,38.4
0.0,0.0,0.0,0.0,0.0,40.32
0.0,0.0,0.0,0.0,0.0,40.8
0.0,0.0,0.0,0.0,0.0,41.279999999999994
0.0,0.0,0.0,0.0,0.0,41.76
0.0,0.0,0.0,0.0,0.0,42.239999999999995
0.0,0.0,0.0,0.0,0.0,42.72
0.0,0.0,0.0,0.0,0.0,43.199999999999996
0.0,0.0,0.0,0.0,0.0,43.68
0.0,0.0,0.0,0.0,0.0,44.16
0.0,0.0,0.0,0.0,0.0,44.63999999999999
0.0,0.0,0.0,0.0,0.0,45.12
0.0,0.0,0.0,0.0,0.0,45.599999999999994
0.0,0.0,0.0,0.0,0.0,46.08
0.0,0.0,0.0,0.0,0.0,46.559999999999995
0.0,0.0,0.0,0.0,0.0,47.04
0.0,0.0,0.0,0.0,0.0,47.519999999999996
90.0,-2.4973934,80.60649,-6.1714783,20.690819,49.919999999999995
126.0,-0.5251215,122.2426,-4.943083,43.342857,50.4
131.2956,-5.9641457,138.89703,-37.770927,8.17816,50.879999999999995
119.91332,-17.99312,145.55882,-100.34018,-8.245075,51.36
112.49949,-17.151407,133.889,-133.55626,-11.229098,51.839999999999996
62.63495,47.13944,131.55627,0.57749844,-25.734253,52.31999999999999
39.754883,72.855774,131.24352,54.231,-52.091484,52.8
56.19127,83.14231,129.91597,75.6924,-74.83659,53.279999999999994
78.870964,87.25693,127.64367,84.27696,-83.93464,53.76
99.62619,88.90277,127.329094,80.739845,-87.57385,54.239999999999995
107.928276,89.56111,127.20326,79.325,-89.02954,54.72
